run_key,condition,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,late_mean_40_60,late_std_40_60,mean_all_eval_points,std_all_eval_points,num_eval_points
A,Single view,success/test,50.00984573364258,60,75720,51.96608352661133,35,44170,1.95623779296875,49.0566764831543,1.1806726983522058,46.03865909576416,4.9032675708918285,12
A,Single view,precision/test,58.20459747314453,60,75720,60.20787811279297,35,44170,2.0032806396484375,54.83917083740234,2.8092197473811207,52.16055838267008,7.682049079839669,12
B,"Paired views, TWC weight 0",success/test,34.705692291259766,60,75720,42.19146728515625,15,18930,7.485774993896484,35.34726486206055,1.2974377103638102,34.60339244206747,4.084324229163951,12
B,"Paired views, TWC weight 0",precision/test,34.01969528198242,60,75720,42.69584274291992,15,18930,8.6761474609375,34.959957122802734,1.6800182594859798,34.568108240763344,4.271355444464662,12
C,Paired views + corrected TWC,success/test,43.01422119140625,60,75720,45.4146614074707,35,44170,2.400440216064453,42.697374725341795,1.1046455816270246,40.824034690856934,3.7010389308903955,12
C,Paired views + corrected TWC,precision/test,45.7614860534668,60,75720,49.241798400878906,35,44170,3.4803123474121094,45.60394134521484,1.1820441259444683,44.2482697168986,2.9522393672106206,12
