run_key,method,evaluation_mode,online_comparable,metric,epoch,step,value,source_tag,source_path
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,5,6310,65.22682189941406,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,5,6310,76.48267364501953,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,10,12620,58.359622955322266,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,10,12620,66.54205322265625,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,15,18930,64.9990234375,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,15,18930,78.05198669433594,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,20,25240,68.13375854492188,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,20,25240,80.78271484375,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,25,31550,66.01732635498047,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,25,31550,78.69839477539062,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,30,37860,64.98929595947266,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,30,37860,77.35105895996094,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,35,44170,66.6092300415039,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,35,44170,78.8746109008789,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,40,50480,64.86858367919922,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,40,50480,76.88571166992188,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,45,56790,63.235008239746094,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,45,56790,77.56230163574219,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,50,63100,65.08858489990234,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,50,63100,78.30899810791016,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,55,69410,63.97098922729492,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,55,69410,77.05997467041016,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,success,60,75720,64.94256591796875,success,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
trajtrack_gt_assisted_seed42,TrajTrack,gt_assisted_refinement,False,precision,60,75720,79.0722427368164,precision,/home/lishengjie/study/lcyu/trajtrack/work_dirs/trajtrack_car_mini_seqtrack_protocol_seed42_gpu0_20260714-175518/20260714_175547/vis_data/scalars.json
