run_id,epoch,search_geometry_valid_rate,search_candidate_valid_rate,search_foreground_points,search_confidence_mean,search_targetness_mass,search_targetness_entropy,search_targetness_loss,search_vote_loss,search_proposal_loss,search_confidence_loss,motion_candidate0_prior_rmse,motion_candidate0_cv_rmse,motion_nonzero_prior_rmse,motion_nonzero_cv_rmse,motion_gap2_prior_rmse,motion_gap2_cv_rmse,motion_gap4_prior_rmse,motion_gap4_cv_rmse,joint_observation_error_m,joint_motion_error_m,joint_search_error_m_unmasked,joint_final_error_m,joint_search_selected_rate,joint_search_helpful_precision_logged,joint_fusion_ramp,joint_gate_loss,joint_fused_loss
B2V2_FULL,1,0.23335974643423138,0.23335974643423138,3.7239005546751187,0.14012672734135398,4.908389761530324,0.13609134084906682,0.046675896178922927,0.09930481509823594,0.14603226278935902,0.6149916333130158,0.19409268284504333,0.19337883368977152,0.28163630492607405,0.29268346420487773,0.5378226830193067,0.5615208277959604,1.3799115809746287,1.4461889801732901,,,,,,,,,
B2V2_FULL,2,0.23360736925515055,0.23360736925515055,3.62732765451664,0.14729189801195167,3.631773978124078,0.07547097493969672,0.04131393987088851,0.06497099508724695,0.0720496494802698,0.531108860239363,0.1999629195892103,0.19832688277464514,0.26839854955236336,0.29088651614998673,0.5218173956517691,0.5732423775532709,1.2671157192193834,1.4205898375806831,,,,,,,,,
B2V2_FULL,3,0.23182448494453248,0.23182448494453248,3.7111232171156896,0.14693765470735204,3.7012823076471313,0.05743713939345937,0.0333849384302073,0.05724944328378573,0.06206110425744543,0.4826921408556154,0.19564708464973785,0.19838893159806806,0.26407911641030274,0.2878032548149395,0.4956067816668711,0.5557695292974404,1.2705335416779417,1.437338249675233,,,,,,,,,
B2V2_FULL,4,0.23355784469096671,0.23355784469096671,3.775604199683043,0.14980333455420938,3.732035333494319,0.04946715161608148,0.028492471402210777,0.05432301339130294,0.05445369967926145,0.44051929415689217,0.20125745137450146,0.20630853905994845,0.2680102047877956,0.2938369359797466,0.5055129607687756,0.5649596298958999,1.2616758344579848,1.4337063174688873,,,,,,,,,
B2V2_FULL,5,0.23306259904912838,0.23306259904912838,3.708845087163233,0.14840216778747134,3.706887347468916,0.044778508397262294,0.024594664771031016,0.05121058387561552,0.048150565969252594,0.40431212642113495,0.19003757892771317,0.19174535780104757,0.26217689255633275,0.2864207105708151,0.5042128615559517,0.5647651418522717,1.245927821855148,1.4268770469131211,,,,,,,,,
B2V2_FULL,6,0.23306259904912838,0.23306259904912838,3.736430269413629,0.14805362134342914,3.7394847048163755,0.043569350346602136,0.022304019791685305,0.05133932303881166,0.04886489880323998,0.3730936641266153,0.1984918377465139,0.20180505740301674,0.2635810943586064,0.28833816210826396,0.5071154279113532,0.5740891980928282,1.242091723246922,1.4372701175605345,,,,,,,,,
B2V2_FULL,7,0.23222068145800318,0.23222068145800318,3.6759607765451663,0.14553800358353702,3.653875611877115,0.041331338160632086,0.02082684641814283,0.04591284660997368,0.044580856846797356,0.34544437083455537,0.18722659183923293,0.1913177077324337,0.26171043043345116,0.28890026733869606,0.48468604443149077,0.5506100481802785,1.2647946437321922,1.4643156833462594,,,,,,,,,
B2V2_FULL,8,0.23132923930269414,0.23132923930269414,3.6475832012678286,0.14461355754679459,3.6657689934045856,0.039441286553517814,0.01898190051959562,0.04358165086534468,0.040581095064023014,0.31644795826752853,0.1887870644012218,0.19388131558672222,0.25558671785043274,0.28386098585680436,0.4935450688087147,0.5608948527115047,1.2054778457148423,1.4264536646627208,,,,,,,,,
B2V2_FULL,9,0.23202258320126784,0.23202258320126784,3.6722464342313788,0.14588133683964236,3.6837568740358244,0.04005717931256449,0.019678317980892063,0.043555181457165915,0.040986274442622685,0.2923104255895607,0.19027571899418072,0.19591405564157877,0.2619985728620562,0.29155114487037886,0.49547569852886153,0.5669894594091792,1.2231311626561139,1.437186428423965,,,,,,,,,
B2V2_FULL,10,0.23509310618066562,0.23509310618066562,3.678486529318542,0.14540972583046907,3.696298695260379,0.04006865170231322,0.018610597874651937,0.04173448815644407,0.038562561804248816,0.27105632756147446,0.19521703260910894,0.20040890633152852,0.25891013663164714,0.287690889190664,0.49993923090386505,0.5699560012948433,1.2067374639086155,1.426019205875612,,,,,,,,,
B2V2_FULL,11,0.23276545166402535,0.23276545166402535,3.733805467511886,0.1449146480696121,3.7830246500626976,0.04027028968416578,0.016462452669630544,0.0392150176403433,0.03625372396662581,0.2480661925725438,0.18862522431562925,0.1959408182350016,0.2591131161071844,0.29035745004395674,0.4955415269090586,0.5726692701982137,1.2102537685636248,1.4470128330642655,0.39994388444440676,0.3346727280781594,0.8279129370527487,0.39515864520839955,0.0,0.0,0.10000000149011612,0.9271458068098016,0.07587585647231804
B2V2_FULL,12,0.23345879556259905,0.23345879556259905,3.7303882725832014,0.14602166290331617,3.7501894123666086,0.04094841665373707,0.01566173630714931,0.03835175668393821,0.033873009493805534,0.22793184878472858,0.18169111494368265,0.1868645873809966,0.26213712149436946,0.291568974927422,0.49350027026897875,0.5683788139485236,1.213100228287433,1.457699033117332,0.3849598133667902,0.3336354855938022,0.8342753391707001,0.37311622911323267,0.0,0.0,0.20000000298023224,0.699002245668375,0.0684444125274583
B2V2_FULL,13,0.23147781299524564,0.23147781299524564,3.6588252773375594,0.1445046798655714,3.6804715987544925,0.04071415025423441,0.01712081315294971,0.03591815064108163,0.0327672913618672,0.21043133753368104,0.18462099994218387,0.19169984367903992,0.26051863503720607,0.29170975519164144,0.4820417089265271,0.5567962699538398,1.2168317540296354,1.4453567098678575,0.3929459258866764,0.3344774766398591,0.8357877536262083,0.37498941178036566,0.0,0.0,0.30000001192092896,0.6811676777769382,0.07064809916738757
