run_key,condition,diagnostic,final,mean,std,tail1000_mean,tail1000_std,min,max,num_points
B,"Paired views, TWC weight 0",loss_twc,0.004841454792767763,0.017603341059475783,0.03909446707646912,0.006683202583371894,0.011035433782491584,0.0002670353860594332,1.2361952066421509,75720
B,"Paired views, TWC weight 0",twc_valid_ratio,0.6875,0.7499702852614897,0.10808195441456368,0.7525625,0.10834909941365457,0.25,1.0,75720
B,"Paired views, TWC weight 0",twc_center_gap,0.11558277159929276,0.1896324133496029,0.15743031535932492,0.12511238261684776,0.05548853059641555,0.03528662398457527,2.6985514163970947,75720
B,"Paired views, TWC weight 0",twc_angle_gap,0.00592669565230608,0.017645982607870845,0.03844489664203255,0.00905908877030015,0.0030455595409997933,0.0019272698555141687,1.5185185670852661,75720
B,"Paired views, TWC weight 0",twc_anchor_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
B,"Paired views, TWC weight 0",twc_current_point_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
B,"Paired views, TWC weight 0",loss_total,0.16147802770137787,0.4785002031437836,0.7195769010593781,0.24721760800480844,0.2153461081541649,0.07330939173698425,14.561119079589844,75720
B,"Paired views, TWC weight 0",loss_total_sup,0.16147802770137787,0.4785002031437836,0.7195769010593781,0.24721760800480844,0.2153461081541649,0.07330939173698425,14.561119079589844,75720
C,Paired views + corrected TWC,loss_twc,0.0023600165732204914,0.01698076958708805,0.038478252851038355,0.006424957787443418,0.008901659621844171,0.00021450557687785476,1.2096095085144043,75720
C,Paired views + corrected TWC,twc_valid_ratio,0.6875,0.7499702852614897,0.10808195441456368,0.7525625,0.10834909941365457,0.25,1.0,75720
C,Paired views + corrected TWC,twc_center_gap,0.08499649167060852,0.18332622779023575,0.15623624772927838,0.12239394169300795,0.05059496268358454,0.032265178859233856,2.69095516204834,75720
C,Paired views + corrected TWC,twc_angle_gap,0.0071317716501653194,0.016994343524378043,0.037147078243744455,0.008503440171247349,0.003012705484515,0.0012733141193166375,1.43218994140625,75720
C,Paired views + corrected TWC,twc_anchor_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
C,Paired views + corrected TWC,twc_current_point_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
C,Paired views + corrected TWC,loss_total,0.14478491246700287,0.4820971356285662,0.7232465051567999,0.24850434857606887,0.20908856182734448,0.07562195509672165,14.593605995178223,75720
C,Paired views + corrected TWC,loss_total_sup,0.1446669101715088,0.4812480972758044,0.7216726144180765,0.2481831009760499,0.20895193419534153,0.07555074989795685,14.535627365112305,75720
