run,comparison_epoch,success,precision,late3_success,late3_precision,evaluator,interpretation
v25 B1-only retryfix（昨天）,30,34.68600082397461,36.07221221923828,32.428521474202476,33.542669932047524,safe recursive,部署输出为observation；低B0轨迹
v25 B1-only rerun（今天）,30,49.274620056152344,52.096282958984375,49.06017939249674,56.07257588704427,safe recursive,同配置同臂；高B0轨迹；仅完成30轮
v25 B0 formal,30,47.060176849365234,47.27024459838867,45.741433461507164,47.680528004964195,safe recursive,正式安全B0在同轮次的描述性参照
v25 B0 formal final,60,50.690372467041016,59.28009033203125,50.18490219116211,57.03756586710612,safe recursive,当前安全B0数值候选基线
SeqTrack workers4 rerun,60,27.996719360351562,26.48358917236328,27.35776964823405,25.95915412902832,原版（当前帧GT尺寸）,与旧workers4日志仅tag不同，落入更低轨迹
SeqTrack workers4 old-low,60,31.683805465698242,31.33698081970215,31.138220469156902,30.640408833821613,原版（当前帧GT尺寸）,旧低分轨迹
SeqTrack workers12 old-high,60,50.98577880859375,59.96171188354492,50.10758590698242,58.862876892089844,原版（当前帧GT尺寸）,旧高分轨迹；旧run无commit身份
