run,rows,valid_rows,valid_rate,learned_rmse,cv_rmse,learned_minus_cv,mean_nll,coverage_50,coverage_80,coverage_95
B1-only retryfix epoch30,1934,1852,0.9576008273009308,8.947280369212905,9.038610524819926,-0.09133015560702162,110.50351085536435,0.2786177105831533,0.37634989200863933,0.4562634989200864
B1-only rerun epoch30,1983,1901,0.9586485123550177,5.699820145842177,5.592396727771395,0.10742341807078226,148.56818218750308,0.051551814834297736,0.15675960021041557,0.3114150447133088
