run,epoch,success,precision
B1 retryfix,1,16.556894302368164,25.923416137695312
B1 retryfix,2,25.637853622436523,39.81181716918945
B1 retryfix,3,25.298686981201172,33.17943572998047
B1 retryfix,4,32.34682846069336,46.646610260009766
B1 retryfix,5,28.05579948425293,27.894968032836914
B1 retryfix,6,36.15864181518555,36.852298736572266
B1 retryfix,7,31.278995513916016,30.066740036010742
B1 retryfix,8,32.661930084228516,33.42013168334961
B1 retryfix,9,30.508750915527344,31.073305130004883
B1 retryfix,10,28.580963134765625,29.9135684967041
B1 retryfix,11,33.09956359863281,35.36433410644531
B1 retryfix,12,30.073305130004883,31.3807430267334
B1 retryfix,13,27.749454498291016,40.89606475830078
B1 retryfix,14,32.230857849121094,34.73851013183594
B1 retryfix,15,24.88730812072754,30.308536529541016
B1 retryfix,16,23.261489868164062,21.98686981201172
B1 retryfix,17,28.62910270690918,36.44967269897461
B1 retryfix,18,28.57440185546875,31.376365661621094
B1 retryfix,19,31.18927764892578,31.99234390258789
B1 retryfix,20,26.228666305541992,25.491249084472656
B1 retryfix,21,29.62691879272461,29.5864315032959
B1 retryfix,22,33.756019592285156,35.317291259765625
B1 retryfix,23,30.44748306274414,30.978118896484375
B1 retryfix,24,31.257110595703125,31.38621711730957
B1 retryfix,25,26.902624130249023,26.891687393188477
B1 retryfix,26,28.349014282226562,28.231948852539062
B1 retryfix,27,31.885120391845703,32.75382995605469
B1 retryfix,28,31.05579948425293,32.69474792480469
B1 retryfix,29,31.543764114379883,31.86104965209961
B1 retryfix,30,34.68600082397461,36.07221221923828
B1 rerun,1,17.672866821289062,24.463895797729492
B1 rerun,2,33.13676071166992,41.229759216308594
B1 rerun,3,31.04267120361328,27.373085021972656
B1 rerun,4,30.187088012695312,52.8555793762207
B1 rerun,5,39.18927764892578,47.93873596191406
B1 rerun,6,34.427791595458984,38.24945831298828
B1 rerun,7,27.047046661376953,26.250547409057617
B1 rerun,8,23.598468780517578,19.80743980407715
B1 rerun,9,36.6750602722168,33.01859664916992
B1 rerun,10,47.85230255126953,56.4967155456543
B1 rerun,11,44.66630172729492,62.09518814086914
B1 rerun,12,48.32276153564453,61.78775405883789
B1 rerun,13,41.758201599121094,43.06017303466797
B1 rerun,14,38.388404846191406,48.758209228515625
B1 rerun,15,36.57658767700195,33.565643310546875
B1 rerun,16,33.58534240722656,40.26149368286133
B1 rerun,17,33.88731002807617,32.75273513793945
B1 rerun,18,37.73194885253906,56.20132064819336
B1 rerun,19,32.96171188354492,28.08643341064453
B1 rerun,20,41.44967269897461,46.84244918823242
B1 rerun,21,50.63129806518555,61.705684661865234
B1 rerun,22,50.125823974609375,54.676143646240234
B1 rerun,23,49.736328125,59.961708068847656
B1 rerun,24,50.84136199951172,64.16411590576172
B1 rerun,25,50.1739616394043,61.925601959228516
B1 rerun,26,48.7647705078125,61.008758544921875
B1 rerun,27,51.574398040771484,64.39935302734375
B1 rerun,28,46.74726867675781,57.44200897216797
B1 rerun,29,51.15864944458008,58.67943572998047
B1 rerun,30,49.274620056152344,52.096282958984375
