arm,status,last_complete_epoch,success,precision,tail3_observed_success,tail3_observed_precision,runtime_fps,validation_points,formal_late3_available,descriptive_delta_success_vs_b0,descriptive_delta_precision_vs_b0
B0,complete,60,26.902624130249023,25.600656509399414,27.871992111206055,26.599198659261067,7.915044784545898,30,False,0.0,0.0
B1-GRU,complete,60,51.972652435302734,61.95296096801758,51.29941940307617,60.04194259643555,2.001248598098755,30,False,25.07002830505371,36.352304458618164
B1-CfC,complete,60,28.79540252685547,28.017505645751953,29.922320048014324,29.075493494669598,1.9488615989685059,30,False,1.8927783966064453,2.416849136352539
Full-minus-B3,partial: crash in epoch-10 validation,8,28.211158752441406,29.42888641357422,30.441647211710613,31.350112279256184,1.2403985261917114,4,False,1.3085346221923828,3.8282299041748047
Full,complete,60,48.80196762084961,54.88840866088867,47.994529724121094,52.70715204874674,1.7973424196243286,30,False,21.899343490600586,29.287752151489258
