arm,epoch,status,csv_rows,csv_tracklets,missing_nonfirst_endpoints,global_need_rows,novel_pool_target_recall,mechanism_threshold,mechanism_passed,selection_eligible_rows,selection_row_recall,selection_point_recall,relation_auroc_row_mean,relation_ap_row_mean,available_rows,available_rate,available_center_gain_m,available_iou_gain,available_harm_rate,no_target_available_rows,no_target_center_gain_m,no_target_harm_rate,strict_miss_rows,strict_novel_recovered_rows,strict_novel_recall,strict_observation_error_median_m,strict_observation_error_p90_m,active_b1_prior_rows,fallback_cv_rows,coverage_need_rate,corridor_valid_rate,prepool_points_median,b3_calibrated_rate,b3_action_coverage
Full,60,complete,1928,102,251,1676,0.06324582338902147,0.15,False,106,1.0,0.9738219895287958,0.5055469909301546,0.05075701228849318,249,0.129149377593361,-0.5255784671751996,-0.15642439087837015,0.6024096385542169,143,-1.127360615504983,0.8251748251748252,123,1,0.008130081300813009,18.937969967275656,37.569961563036244,0,1846,1.0,0.9403526970954357,0.0,0.0,0.0
Full-minus-B3,8,partial,1952,102,227,1702,0.08401880141010576,0.15,False,143,1.0,0.7351797862001944,0.5200104303533553,0.06698587855085458,851,0.4359631147540984,-0.13314071024058666,-0.0560745314101393,0.5675675675675675,708,-0.574243798276825,0.6313559322033898,759,28,0.03689064558629776,15.457817683763864,24.914562438132418,0,1870,1.0,0.9415983606557377,0.0,0.0,0.0
