model,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,late_mean_epoch40_60,late_std_epoch40_60,final_delta_vs_baseline,best_delta_vs_baseline,final_delta_vs_a2_order_dyn,best_delta_vs_a2_order_dyn
SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.967908333333334,3.474774840057586,49.452740000000006,1.6051280616823074,0.0,0.0,0.024091931152341317,0.7418197998046878
SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,57.47462,3.2824528398135437,0.0,0.0,-3.352310620117187,1.641092962646475
A2-order-dyn,success/test,50.961708068847656,60,75719,51.54158020019531,45,56789,0.5798721313476562,46.82768154144287,6.546487696508089,50.601094818115236,0.8451175654570066,-0.024091931152341317,-0.7418197998046878,0.0,0.0
A2-order-dyn,precision/test,63.31401062011719,60,75719,63.57330703735352,10,12619,0.25929641723633523,57.76294803619385,9.903122816696326,62.52078857421875,0.9878481260984497,3.352310620117187,-1.641092962646475,0.0,0.0
A2-order-dyn-cand1,success/test,26.677244186401367,60,18899,41.98577880859375,10,3149,15.308534622192383,30.446207523345947,5.18410389096195,26.74420166015625,0.7728106280140731,-24.30855581359863,-10.29762119140625,-24.28446388244629,-9.555801391601562
A2-order-dyn-cand1,precision/test,24.4989070892334,60,18899,54.624725341796875,5,1574,30.125818252563477,31.58980719248454,9.682322576827923,24.91334800720215,0.638424787442306,-35.4627929107666,-10.589674658203123,-38.81510353088379,-8.948581695556648
A2-order-dyn-disp,success/test,50.54157257080078,60,75719,52.44091796875,10,12619,1.8993453979492188,44.80178769429525,8.62945953432044,50.40590896606445,0.5431902574453153,-0.4442274291992163,0.15751796874999968,-0.420135498046875,0.8993377685546875
A2-order-dyn-disp,precision/test,63.847923278808594,60,75719,64.80853271484375,40,50479,0.9606094360351562,54.72967020670573,13.082238079973898,63.37352600097656,1.0568097110179717,3.8862232788085933,-0.4058672851562477,0.5339126586914062,1.2352256774902273
