model,metric,final,final_epoch,final_step,best,best_epoch,best_step,mean,std
SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,47.967908333333334,3.474774840057586
CT P5 full,success/test,31.1937,60,75719,44.9836,25,31549,33.39751666666667,7.988249026417213
A1 CT-base,success/test,28.27680778503418,60,75719,32.35557556152344,15,18929,27.853393077850342,1.8436659784925964
A2 Dynamics,success/test,45.265865325927734,60,75719,45.35995864868164,25,31549,42.48468462626139,4.833066177010342
SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,55.92588333333333,6.395816864669351
CT P5 full,precision/test,31.8851,60,75719,62.512,5,6309,36.089166666666664,12.583395080245856
A1 CT-base,precision/test,27.42888641357422,60,75719,40.361053466796875,10,12619,28.393691857655842,4.878107312057727
A2 Dynamics,precision/test,58.831512451171875,60,75719,58.852298736572266,25,31549,52.180252393086754,9.769389836780594
