model,metric,final,final_epoch,final_step,best,best_epoch,best_step,mean,std,final_delta_vs_baseline,best_delta_vs_baseline
SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,47.967908333333334,3.4747748400575857,0.0,0.0
SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,55.92588333333333,6.395816864669351,0.0,0.0
A1-scaled,success/test,31.33370018005371,60,75719,33.20240783691406,5,6309,29.84609826405843,2.670490492579018,-19.652099819946287,-19.080992163085938
A1-scaled,precision/test,31.224288940429688,60,75719,37.698028564453125,5,6309,29.9821302096049,3.37081720921238,-28.737411059570313,-27.516371435546873
A2-scaled-dyn,success/test,29.410287857055664,60,75719,39.99671936035156,10,12619,31.00802453358968,3.17913608363769,-21.575512142944334,-12.286680639648438
A2-scaled-dyn,precision/test,31.51422119140625,60,75719,43.676151275634766,10,12619,33.23842175801595,4.168325110637,-28.44747880859375,-21.538248724365232
