model,metric,final,final_epoch,final_step,best,best_epoch,best_step,mean,std,final_delta_vs_baseline,best_delta_vs_baseline,final_delta_vs_a1_pseudo,best_delta_vs_a1_pseudo
SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,47.967908333333334,3.4747748400575857,0.0,0.0,2.647722454833982,2.3917145141601566
SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,55.92588333333333,6.395816864669351,0.0,0.0,7.711154498291016,-0.024110131835939796
A1-pseudo,success/test,48.338077545166016,60,75719,49.891685485839844,45,56789,43.89533392588297,4.434920894430533,-2.647722454833982,-2.3917145141601566,0.0,0.0
A1-pseudo,precision/test,52.250545501708984,60,75719,65.23851013183594,5,6309,50.827043215433754,7.731524730259707,-7.711154498291016,0.024110131835939796,0.0,0.0
A1-order,success/test,51.228668212890625,60,75719,53.29868698120117,45,56789,49.00182374318441,3.5593127541666076,0.24286821289062743,1.0152869812011716,2.8905906677246094,3.407001495361328
A1-order,precision/test,57.863243103027344,60,75719,62.01531982421875,45,56789,56.958882331848145,4.79577458241064,-2.0984568969726567,-3.1990801757812477,5.612697601318359,-3.2231903076171875
A2-order-dyn,success/test,50.961708068847656,60,75719,51.54158020019531,45,56789,46.82768154144287,6.5464876965080885,-0.024091931152341317,-0.7418197998046878,2.6236305236816406,1.6498947143554688
A2-order-dyn,precision/test,63.31401062011719,60,75719,63.573307037353516,10,12619,57.76294803619385,9.903122816696325,3.352310620117187,-1.641092962646482,11.063465118408203,-1.6652030944824219
