run,valid_rows,learned_minus_cv_rmse,help_rate,coverage_95,sigma_parallel_p50,sigma_parallel_p95,sigma_perpendicular_p50,sigma_perpendicular_p95,residual_parallel_p50,residual_parallel_p05,residual_parallel_p95,query_delta_t_mean,query_delta_t_std,recursive_age_unique,gap2_learned_rmse,gap2_cv_rmse,gap4_learned_rmse,gap4_cv_rmse
B1 retryfix epoch30,1852,-0.09133015560702162,0.5701943844492441,0.4562634989200864,0.4730723053216934,2.2299066781997676,0.3785505592823028,1.2718966484069822,-0.6470029056072235,-0.6517077088356018,-0.6179270684719086,0.49907038059914344,0.02444970773524775,1,6.764113580676871,7.241427079332826,10.962277109913982,10.938992726411058
B1 rerun epoch30,1901,0.10742341807078226,0.04208311415044713,0.3114150447133088,0.3233213722705841,0.3748819828033447,0.3229532241821289,0.3398454785346985,0.9420086145401,0.9398678541183472,0.9440584182739258,0.499094571896693,0.024132944768801574,1,4.9331410392908985,4.930373807713179,10.137193130775236,10.176341470698235
