run,epoch,success,precision,workers
SeqTrack-60-high,5,40.696937561035156,41.869808197021484,12
SeqTrack-60-high,10,46.09081268310547,65.21444702148438,12
SeqTrack-60-high,15,45.729759216308594,50.54158020019531,12
SeqTrack-60-high,20,42.8851203918457,49.23085403442383,12
SeqTrack-60-high,25,51.736324310302734,60.63239669799805,12
SeqTrack-60-high,30,48.92888259887695,53.90918731689453,12
SeqTrack-60-high,35,52.28337097167969,62.339168548583984,12
SeqTrack-60-high,40,46.47811508178711,51.1739616394043,12
SeqTrack-60-high,45,50.462799072265625,59.610504150390625,12
SeqTrack-60-high,50,50.2024040222168,57.308536529541016,12
SeqTrack-60-high,55,49.13457489013672,59.318382263183594,12
SeqTrack-60-high,60,50.98577880859375,59.96171188354492,12
SeqTrack-60-low,5,32.30306625366211,32.13566970825195,4
SeqTrack-60-low,10,26.760393142700195,33.793216705322266,4
SeqTrack-60-low,15,31.950769424438477,32.92341613769531,4
SeqTrack-60-low,20,28.970462799072266,27.862146377563477,4
SeqTrack-60-low,25,29.826038360595703,28.701311111450195,4
SeqTrack-60-low,30,29.71881866455078,29.289934158325195,4
SeqTrack-60-low,35,30.602848052978516,30.4135684967041,4
SeqTrack-60-low,40,28.03173065185547,27.272430419921875,4
SeqTrack-60-low,45,30.526262283325195,30.080965042114258,4
SeqTrack-60-low,50,31.878555297851562,31.498905181884766,4
SeqTrack-60-low,55,29.8523006439209,29.08534049987793,4
SeqTrack-60-low,60,31.683805465698242,31.33698081970215,4
